company_id,year,pattern_label
VBL,Dec 2023,Mixed
ABB,Mar 2024,Reinvestor
ADANIENSOL,Mar 2024,Reinvestor
ADANIENT,Mar 2024,Mixed
ADANIGREEN,Mar 2024,Mixed
ADANIPORTS,Mar 2024,Reinvestor
ADANIPOWER,Mar 2024,Liquidating Assets
AMBUJACEM,Mar 2024,Mixed
APOLLOHOSP,Mar 2024,Reinvestor
ASIANPAINT,Mar 2024,Reinvestor
AGTL,Mar 2024,Reinvestor
AXISBANK,Mar 2024,Growth Funded by Debt
BAJAJ-AUTO,Mar 2024,Reinvestor
BAJAJFINSV,Mar 2024,Growth Funded by Debt
BAJAJHLDNG,Mar 2024,Reinvestor
BAJFINANCE,Mar 2024,Growth Funded by Debt
BANKBARODA,Mar 2024,Growth Funded by Debt
BEL,Mar 2024,Reinvestor
BHARTIARTL,Mar 2024,Reinvestor
BHEL,Mar 2024,Distress Signal
BOSCHLTD,Mar 2024,Liquidating Assets
BPCL,Mar 2024,Reinvestor
BRITANNIA,Mar 2024,Liquidating Assets
CANBK,Mar 2024,Reinvestor
CHOLAFIN,Mar 2024,Growth Funded by Debt
CIPLA,Mar 2024,Reinvestor
COALINDIA,Mar 2024,Reinvestor
DABUR,Mar 2024,Reinvestor
DIVISLAB,Mar 2024,Reinvestor
DLF,Mar 2024,Mixed
DMART,Mar 2024,Reinvestor
DRREDDY,Mar 2024,Reinvestor
EICHERMOT,Mar 2024,Reinvestor
GAIL,Mar 2024,Reinvestor
GODREJCP,Mar 2024,Mixed
GRASIM,Mar 2024,Growth Funded by Debt
HAL,Mar 2024,Reinvestor
HAVELLS,Mar 2024,Reinvestor
HCLTECH,Mar 2024,Reinvestor
HDFCBANK,Mar 2024,Liquidating Assets
HDFCLIFE,Mar 2024,Reinvestor
HEROMOTOCO,Mar 2024,Reinvestor
HINDALCO,Mar 2024,Reinvestor
HINDUNILVR,Mar 2024,Reinvestor
ICICIBANK,Mar 2024,Mixed
ICICIGI,Mar 2024,Reinvestor
ICICIPRULI,Mar 2024,Unknown
INDIGO,Mar 2024,Reinvestor
INDUSINDBK,Mar 2024,Pre-Revenue
INFY,Mar 2024,Reinvestor
IOC,Mar 2024,Reinvestor
IRCTC,Mar 2024,Reinvestor
IRFC,Mar 2024,Reinvestor
ITC,Mar 2024,Liquidating Assets
JINDALSTEL,Mar 2024,Mixed
JIOFIN,Mar 2024,Unknown
JSWENERGY,Mar 2024,Mixed
JSWSTEEL,Mar 2024,Reinvestor
KOTAKBANK,Mar 2024,Mixed
LICI,Mar 2024,Reinvestor
LODHA,Mar 2024,Mixed
LT,Mar 2024,Liquidating Assets
LTIM,Mar 2024,Reinvestor
M&M,Mar 2024,Growth Funded by Debt
MARUTI,Mar 2024,Reinvestor
MOTHERSON,Mar 2024,Mixed
NAUKRI,Mar 2024,Mixed
NESTLEIND,Mar 2024,Reinvestor
NHPC,Mar 2024,Reinvestor
NTPC,Mar 2024,Reinvestor
ONGC,Mar 2024,Reinvestor
PFC,Mar 2024,Growth Funded by Debt
PIDILITIND,Mar 2024,Reinvestor
PNB,Mar 2024,Growth Funded by Debt
POWERGRID,Mar 2024,Reinvestor
RECLTD,Mar 2024,Growth Funded by Debt
RELIANCE,Mar 2024,Reinvestor
SBILIFE,Mar 2024,Reinvestor
SBIN,Mar 2024,Reinvestor
SHREECEM,Mar 2024,Reinvestor
SHRIRAMFIN,Mar 2024,Growth Funded by Debt
SUNPHARMA,Mar 2024,Reinvestor
TATACONSUM,Mar 2024,Mixed
TATAMOTORS,Mar 2024,Reinvestor
TATAPOWER,Mar 2024,Reinvestor
TATASTEEL,Mar 2024,Reinvestor
TECHM,Mar 2024,Reinvestor
TITAN,Mar 2024,Reinvestor
TORNTPHARM,Mar 2024,Reinvestor
TRENT,Mar 2024,Reinvestor
TVSMOTOR,Mar 2024,Growth Funded by Debt
ULTRACEMCO,Mar 2024,Reinvestor
UNIONBANK,Mar 2024,Reinvestor
UNITDSPR,Mar 2024,Liquidating Assets
VEDL,Mar 2024,Reinvestor
WIPRO,Mar 2024,Liquidating Assets
ZOMATO,Mar 2024,Reinvestor
ZYDUSLIFE,Mar 2024,Reinvestor
TCS,Mar-24,Liquidating Assets
SIEMENS,Sep 2024,Reinvestor
