company_id,cluster,cluster_label
ABB,2,Value
ADANIENSOL,2,Value
ADANIENT,1,Growth
ADANIGREEN,1,Growth
ADANIPORTS,2,Value
ADANIPOWER,2,Value
AMBUJACEM,2,Value
APOLLOHOSP,2,Value
ASIANPAINT,2,Value
BAJAJ-AUTO,2,Value
AXISBANK,1,Growth
BAJAJFINSV,1,Growth
BAJAJHLDNG,1,Growth
BAJFINANCE,1,Growth
BANKBARODA,3,Turnaround
BHARTIARTL,2,Value
BEL,4,Dividend
BHEL,2,Value
BOSCHLTD,2,Value
BPCL,2,Value
BRITANNIA,2,Value
CANBK,3,Turnaround
CHOLAFIN,1,Growth
CIPLA,2,Value
COALINDIA,0,Quality Compounder
DABUR,2,Value
DIVISLAB,2,Value
DLF,2,Value
DMART,2,Value
DRREDDY,2,Value
EICHERMOT,2,Value
GAIL,2,Value
GODREJCP,2,Value
GRASIM,1,Growth
HAL,4,Dividend
HAVELLS,2,Value
HCLTECH,2,Value
HDFCBANK,3,Turnaround
HDFCLIFE,2,Value
HEROMOTOCO,2,Value
HINDALCO,0,Quality Compounder
HINDUNILVR,2,Value
ICICIBANK,3,Turnaround
ICICIGI,2,Value
ICICIPRULI,2,Value
INDUSINDBK,1,Growth
INFY,2,Value
IOC,2,Value
IRCTC,2,Value
IRFC,3,Turnaround
ITC,2,Value
JINDALSTEL,2,Value
JIOFIN,2,Value
JSWENERGY,2,Value
JSWSTEEL,2,Value
KOTAKBANK,2,Value
LICI,2,Value
LODHA,2,Value
LT,2,Value
LTIM,1,Growth
M&M,2,Value
MARUTI,2,Value
MOTHERSON,2,Value
NAUKRI,2,Value
NESTLEIND,2,Value
NHPC,2,Value
NTPC,2,Value
ONGC,2,Value
PFC,1,Growth
PIDILITIND,2,Value
PNB,2,Value
POWERGRID,2,Value
RECLTD,1,Growth
RELIANCE,2,Value
SBILIFE,2,Value
SHREECEM,2,Value
SHRIRAMFIN,1,Growth
SUNPHARMA,2,Value
TATACONSUM,2,Value
TATAMOTORS,2,Value
TATAPOWER,2,Value
TATASTEEL,2,Value
TCS,2,Value
TECHM,2,Value
TITAN,2,Value
TORNTPHARM,2,Value
TRENT,1,Growth
TVSMOTOR,2,Value
ULTRACEMCO,2,Value
UNIONBANK,3,Turnaround
INDIGO,0,Quality Compounder
