company_id,year,return_on_equity_pct,revenue_cagr_5yr,revenue_cagr_5yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,composite_quality_score
ABB,Dec 2012,22.41,,,,,,,22.41
ABB,Mar 2014,25.13,,,,,,,25.13
ABB,Mar 2014,25.13,,,,,,,25.13
ABB,Mar 2015,24.44,,,,,,,24.44
ABB,Mar 2015,24.44,,,,,,,24.44
ABB,Mar 2016,21.34,2.81,NORMAL,5.19,NORMAL,5.23,NORMAL,8.64
ABB,Mar 2016,21.34,2.81,NORMAL,5.19,NORMAL,5.23,NORMAL,8.64
ABB,Mar 2017,19.97,4.87,NORMAL,3.88,NORMAL,3.78,NORMAL,8.12
ABB,Mar 2017,19.97,4.87,NORMAL,3.88,NORMAL,3.78,NORMAL,8.12
ABB,Mar 2018,23.69,4.76,NORMAL,9.48,NORMAL,9.51,NORMAL,11.86
ABB,Mar 2018,23.69,4.76,NORMAL,9.48,NORMAL,9.51,NORMAL,11.86
ABB,Mar 2019,22.41,4.85,NORMAL,10.19,NORMAL,10.28,NORMAL,11.93
ABB,Mar 2019,22.41,4.85,NORMAL,10.19,NORMAL,10.28,NORMAL,11.93
ABB,Mar 2020,24.39,4.41,NORMAL,8.14,NORMAL,8.1,NORMAL,11.26
ABB,Mar 2020,24.39,4.41,NORMAL,8.14,NORMAL,8.1,NORMAL,11.26
ABB,Mar 2021,26.56,3.22,NORMAL,8.96,NORMAL,8.92,NORMAL,11.92
ABB,Mar 2021,26.56,3.22,NORMAL,8.96,NORMAL,8.92,NORMAL,11.92
ABB,Mar 2022,28.33,3.72,NORMAL,6.14,NORMAL,6.15,NORMAL,11.08
ABB,Mar 2022,28.33,3.72,NORMAL,6.14,NORMAL,6.15,NORMAL,11.08
ABB,Mar 2023,29.77,4.41,NORMAL,6.55,NORMAL,6.58,NORMAL,11.83
ABB,Mar 2023,29.77,4.41,NORMAL,6.55,NORMAL,6.58,NORMAL,11.83
ABB,Mar 2024,32.47,3.55,NORMAL,8.49,NORMAL,8.49,NORMAL,13.25
ABB,Mar 2024,32.47,3.55,NORMAL,8.49,NORMAL,8.49,NORMAL,13.25
ADANIENSOL,Mar 2014,0.0,,,,,,,0.0
ADANIENSOL,Mar 2015,-0.65,,,,,,,-0.65
ADANIENSOL,Mar 2016,13.77,,,,,,,13.77
ADANIENSOL,Mar 2017,14.12,,,,,,,14.12
ADANIENSOL,Mar 2018,18.87,,,,,,,18.87
ADANIENSOL,Mar 2019,6.950000000000001,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE,6.95
ADANIENSOL,Mar 2020,8.309999999999999,144.37,NORMAL,,TURNAROUND,,ZERO_BASE,76.34
ADANIENSOL,Mar 2021,14.46,35.24,NORMAL,28.51,NORMAL,29.67,NORMAL,26.97
ADANIENSOL,Mar 2022,12.47,31.38,NORMAL,24.33,NORMAL,22.42,NORMAL,22.65
ADANIENSOL,Mar 2023,10.9,27.51,NORMAL,2.31,NORMAL,1.92,NORMAL,10.66
ADANIENSOL,Mar 2024,9.46,17.85,NORMAL,16.43,NORMAL,14.87,NORMAL,14.65
ADANIENT,Mar 2013,5.69,,,,,,,5.69
ADANIENT,Mar 2014,11.14,,,,,,,11.14
ADANIENT,Mar 2015,8.93,,,,,,,8.93
