company_id,company_name,broad_sector,sub_sector,market_cap_category,clean_roe_pct,debt_to_equity,net_profit_margin_pct,operating_profit_margin_pct,free_cash_flow_cr,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,roce_percentage
ABB,Abbott India Ltd,Industrials,Capital Goods,Large Cap,25.19,0.02,13.2,17.48,56.39,1112067.62,50.34,9.32,13.3,1.95,46.0
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,10.93,3.11,10.95,52.3,-205.64,263800.15,55.16,11.13,20.53,2.7,9.0
ADANIENT,Adani Enterprises Ltd,Industrials,Conglomerates,Large Cap,6.56,1.77,2.58,8.75,-2613.25,194591.64,57.68,6.98,15.3,2.18,11.6
ADANIGREEN,Adani Green Energy Ltd,Energy,Renewable Energy,Large Cap,13.28,8.53,-0.36,68.88,-5144.88,496162.61,35.28,8.17,17.12,1.86,96.5
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,Large Cap,17.94,1.31,36.08,60.5,585.67,675869.94,45.9,3.73,28.86,1.25,12.9
ADANIPOWER,Adani Power Ltd,Energy,Power & Utilities,Large Cap,25.57,10.98,0.24,27.58,5050.08,1130325.06,48.55,7.61,20.91,1.87,32.2
AMBUJACEM,Ambuja Cements Ltd,Materials,Cement,Large Cap,12.0,0.01,11.59,18.36,1297.0,1145724.2,55.65,5.71,18.39,2.22,12.8
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Healthcare,Large Cap,9.48,0.8,4.41,12.75,182.08,1394137.41,34.62,8.57,15.36,2.61,17.2
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,Large Cap,27.39,0.09,12.4,18.83,1616.08,1568987.92,47.54,4.81,25.65,0.8,41.75
ATGL,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,,,,,,1371740.96,39.84,7.64,20.32,1.86,21.2
AXISBANK,Axis Bank Ltd,Financials,Private Banks,Large Cap,9.99,9.0,13.65,449.5,-9267.67,776243.79,48.59,4.33,21.48,2.47,7.06
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,Large Cap,25.23,0.01,16.96,18.67,2930.75,485403.17,54.93,10.14,28.44,2.25,33.5
BAJAJFINSV,Bajaj Finserv Ltd,Financials,Diversified Financials,Large Cap,22.58,3.35,16.86,40.0,-24225.42,1574927.57,46.56,7.21,23.34,2.34,21.14
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,Holding Companies,Large Cap,12.96,0.0,605.27,83.25,686.33,1507808.37,51.24,7.33,13.27,2.37,13.1
BAJFINANCE,Bajaj Finance Ltd,Financials,Consumer Finance,Large Cap,17.54,4.42,20.66,7629.8,-28298.5,1456142.48,47.38,6.5,25.46,1.04,11.9
BANKBARODA,Bank of Baroda,Financials,Public Sector Banks,Large Cap,8.56,14.14,5.99,-3264.0,855.25,475825.18,48.89,8.16,20.35,2.22,6.33
BEL,Bharat Electronics Ltd,Industrials,Defence Electronics,Large Cap,,1.73,16.01,20.0,930.33,1021468.2,49.14,8.1,26.58,3.2,34.6
BHARTIARTL,Bharti Airtel Ltd,Communication Services,Telecommunications,Large Cap,8.3,1.99,0.2,39.58,7731.83,266308.31,58.98,7.38,31.67,1.34,13.1
BHEL,"Bharat Heavy Electricals Limited
",Industrials,Capital Goods,Large Cap,5.36,0.13,1.2,3.5,297.0,437423.94,38.1,10.24,29.0,2.3,3.28
BOSCHLTD,Bosch Ltd,Consumer Discretionary,Auto Ancillaries,Large Cap,14.45,0.01,11.33,15.5,875.0,1900291.86,38.85,7.37,23.4,2.16,20.6
BPCL,Bharat Petroleum Corporation Ltd,Energy,Oil & Gas Refining,Large Cap,22.33,1.26,3.26,5.5,6216.33,492704.97,34.44,3.92,14.59,1.58,32.1
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Food Products,Large Cap,45.26,0.37,10.22,14.5,883.25,269039.62,42.4,5.39,24.55,3.42,48.9
CANBK,Canara Bank,Financials,Public Sector Banks,Large Cap,8.94,15.72,4.01,-8489.5,5623.83,344339.16,42.5,8.05,23.21,3.1,6.63
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,Consumer Finance,Large Cap,16.76,6.95,15.43,1825.58,-9581.5,1206818.92,30.66,7.98,19.71,2.79,10.4
CIPLA,"Cipla Ltd
",Healthcare,Pharmaceuticals,Large Cap,12.09,0.18,11.71,3396.0,568.25,336593.3,50.44,8.7,21.02,1.68,22.8
