company_id,avg_roe,avg_de,health_score
LT,75.37,0.07,80.79638317757009
HINDUNILVR,48.42,0.02,63.30576470588235
NESTLEIND,45.18,0.1,58.89872727272727
COALINDIA,42.46,0.08,57.49977777777777
TCS,38.59,0.04,55.859153846153845
BRITANNIA,45.26,0.37,53.579810218978096
LTIM,33.63,0.07,51.57838317757009
IRCTC,30.76,0.02,50.94376470588235
ITC,26.04,0.0,48.227999999999994
HEROMOTOCO,27.07,0.03,48.07521359223301
BAJAJ-AUTO,25.23,0.01,47.363970297029695
ABB,25.19,0.02,47.04476470588235
INFY,25.52,0.03,46.990213592233005
ASIANPAINT,27.39,0.09,46.69593577981651
EICHERMOT,23.83,0.02,46.092764705882345
HCLTECH,25.15,0.07,45.64238317757009
NAUKRI,22.48,0.01,45.4389702970297
PIDILITIND,23.25,0.04,45.121153846153845
HDFCLIFE,21.85,0.02,44.70676470588235
DIVISLAB,20.52,0.01,44.0669702970297
DABUR,25.91,0.19,43.34708403361344
ICICIPRULI,21.07,0.06,43.05088679245283
SIEMENS,17.06,0.0,41.942
SBILIFE,17.01,0.0,41.907
HAVELLS,22.76,0.17,41.573025641025644
ICICIGI,18.16,0.04,41.55815384615384
TECHM,20.1,0.11,41.097027027027025
BOSCHLTD,14.45,0.01,39.8179702970297
MARUTI,14.05,0.02,39.24676470588235
BAJAJHLDNG,12.96,0.0,39.072
AMBUJACEM,12.0,0.01,38.1029702970297
TITAN,24.71,0.51,37.16454966887417
LICI,51.72,97.58,36.5083213633597
SUNPHARMA,14.15,0.17,35.54602564102564
GODREJCP,21.57,0.47,35.50716326530612
DRREDDY,16.34,0.3,34.51492307692307
SHREECEM,13.6,0.21,34.31338842975207
CIPLA,12.09,0.18,33.88672881355932
TORNTPHARM,24.22,0.86,33.08303225806452
DMART,14.45,0.31,33.01576335877863
GAIL,12.52,0.27,32.386047244094485
TATACONSUM,6.95,0.17,30.506025641025644
JIOFIN,0.59,0.0,30.413
BHEL,5.36,0.13,30.30067256637168
ONGC,12.83,0.42,30.107760563380282
ULTRACEMCO,11.84,0.45,28.977655172413794
BPCL,22.33,1.26,28.90533628318584
MOTHERSON,21.09,1.19,28.4616301369863
TRENT,9.66,0.52,26.498842105263158
IOC,14.79,0.97,25.581426395939083
ADANIPORTS,17.94,1.31,25.54501298701299
PNB,31.76,8.14,25.514275711159737
RELIANCE,10.5,0.68,25.207142857142856
TATAMOTORS,19.21,1.72,24.476411764705883
NHPC,9.73,0.7,24.458058823529413
TVSMOTOR,21.61,2.3,24.21790909090909
GRASIM,11.98,0.95,23.770615384615386
APOLLOHOSP,9.48,0.8,23.302666666666667
JINDALSTEL,13.06,1.14,23.16069158878505
BAJAJFINSV,22.58,3.35,22.70255172413793
M&M,16.12,1.65,22.604754716981134
TATASTEEL,15.48,1.57,22.509151750972762
DLF,4.26,0.57,22.09028025477707
JSWSTEEL,13.67,1.5,21.569
NTPC,12.13,1.34,21.31151282051282
POWERGRID,16.33,2.2,20.805999999999997
ADANIPOWER,25.57,10.98,20.403173622704504
JSWENERGY,9.41,1.18,20.348467889908257
HINDALCO,8.07,1.17,19.473884792626727
PFC,20.98,8.39,17.880888178913736
BAJFINANCE,17.54,4.42,17.813055350553505
LODHA,14.5,3.19,17.309904534606204
RECLTD,18.92,6.46,17.265447721179626
BHARTIARTL,8.3,1.99,15.843444816053513
CHOLAFIN,16.76,6.95,15.505584905660378
ADANIENT,6.57,1.77,15.429324909747294
SHRIRAMFIN,14.11,4.79,15.058347150259067
ADANIENSOL,10.93,3.11,14.950270072992701
HDFCBANK,16.46,7.94,14.877704697986577
KOTAKBANK,12.92,4.65,14.353734513274336
TATAPOWER,8.23,2.69,13.89108130081301
INDUSINDBK,13.11,7.69,12.629243958573072
ICICIBANK,12.67,7.11,12.56813686806412
ADANIGREEN,13.28,8.53,12.443953830010493
IRFC,11.49,8.55,11.184361256544502
AXISBANK,9.99,9.0,9.992999999999999
CANBK,8.94,15.72,8.05225837320574
BANKBARODA,8.56,14.14,7.973505944517833
UNIONBANK,8.37,16.13,7.610313485113835
